Date;text;approval_date
2017-02-09;see court security nation stake join us live oval office swearing new attorney general senatorsessions live c ryan died winning mission according general mattis failure time u get smart start winning long know win anymore look mess country bogged conflict place hero sen mccain talking success failure mission media emboldens enemy losing chris cuomo interview sen blumenthal never asked long term lie brave service vietnam fake news sen richard blumenthal never fought vietnam said years major lie misrepresents judge gorsuch told congratulations new attorney general senatorsessions;44.30565
2017-02-10;heading joint base andrews marineone prime minister shinz earlier today failing nytimes major fake news china story saying mr xi spoken mr trump since nov spoke length yesterday lawfare remarkably entire opinion panel bother even cite statute disgraceful decision;43.46242
2017-02-11;working dinner tonight prime minister abe japan representatives winter white house mar lago good talks played golf today prime minister abe japan thebig easy ernie els great time japan well represented playef golf today prime minister abe japan thebig easy ernie els great time japan well represented proud daughter ivanka abused treated badly media still hold head high truly wonderful great time hosting prime minister shinzo abe united states melania hosting japanese prime minister shinzo abe mrs abe mar lago palm beach fla wonderful couple design negotiations yet like f fighterjet air force one program price come way reading great border wall cost government originally thought gotten involved legal system broken refugees allowed u since travel reprieve hail seven suspect countries wt dangerous;44.47177
2017-02-12;leaving florida big crowds enthusiastic supporters lining road fake news media refuses mention dishonest congratulations stephen miller representing morning various sunday morning shows great job know mark cuban well backed big time interested taking calls smart enough run president two days productive talks prime minister abe heading back japan l fake news cnn bernie sanders cut using term fake news describe network said technical difficulties refugees admitted u court breakdown countries syria iraq somalia iran sudan libya yemen crackdown illegal criminals merely keeping campaign promise gang members drug dealers others removed icymi joint statement prime minister shinzo abe north korea;44.49281
2017-02-13;wonderful meeting canadian pm justintrudeau group leading ceo business women canada th c welcome whitehouse prime minister justintrudeau today meet canadian pm trudeau group leading business women discuss women workforce;44.57693
2017-02-14;obamacare continues fail humana pull repeal replace save healthcare americans remarks president trump signing h j resolution great parent teacher listening session morning vp pence usedgov secretary betsydevos watch c real story many illegal leaks coming washington leaks happening deal n korea etc congratulations new vasecretary dr david shulkin time take care veterans fought protect c congratulations treasury secretary steven mnuchin icymi watch;44.46416
2017-02-15;venezuela allow leopoldo lopez political prisoner husband liliantintori met w marcorubio c aetna ceo obamacare death spiral repealandreplace join florida saturday pm rally orlando melbourne international airport tickets c welcome united states israelipm benjamin sara icymi joint press conference great listening session ceo retail industry leaders association morning real scandal classified information illegally given intelligence like candy un american crimea taken russia obama administration obama soft russia thank eli lake bloomberg view nsa fbi interfere politics serious situation usa information illegally given failing nytimes washingtonpost intelligence community nsa fbi like russia russian connection non sense merely attempt cover many mistakes made hillary clinton losing campaign fake news media going crazy conspiracy theories blind hatred msnbc cnn unwatchable foxandfriends great;44.31153
2017-02-16;trump signs bill undoing obama coal mining rule democrats come story lost election badly made story russia fake news fake news media makes stories sources far effective discredited democrats fading fast spotlight finally put low life leakers caught leaking even illegal classified leaking big problem washington years failing nytimes others must apologize stock market hits new high longest winning streak decades great level confidence optimism even tax plan rollout;44.10547
2017-02-17;one effective press conferences ever seen says rush limbaugh many agree yet fake media calls differently dishonest fake news media failing nytimes nbcnews abc cbs cnn enemy enemy american people fake news media failing nytimes cnn nbcnews many enemy enemy american people sick join watch general keith kellogg known long time much play nsa three others thank nice statements press conference yesterday rush limbaugh said one greatest ever fake media happy going charleston south carolina order spend time boeing talk jobs look forward despite long delays democrats finally approving dr tom price repeal replacement obamacare moving fast;43.83627
2017-02-18;getting ready leave melbourne florida see soon many meetings weekend southern white house big p speech melbourne florida lot talk believe main stream fake news media white house running well inherited mess process fixing looking forward florida rally tomorrow big crowd expected;43.66503
2017-02-19;statement happening sweden reference story broadcast foxnews concerning immigrants sweden;42.54541
2017-02-20;named general h r mcmaster national security advisor meeting generals mar lago florida interesting happy presidents day make america great give public break fake news media trying say large scale immigration sweden working beautifully;43.00062
2017-02-21;called angry crowds home districts republicans actually numerous cases planned liberal activists sad americans overwhelmingly oppose sanctuary cities congratulations new national security advisor general h r mcmaster video;43.10133
2017-02-22;much enjoyed tour smithsonian national museum african american history culture great job done amazing people one thing say rep keith ellison fight lead dnc one predicted early would win;42.99247
